Date,newCases,unitedAirline,americanAirline
2020-01-24,NaN,-3.51,-4.03
2020-01-25,0,NaN,NaN
2020-01-26,1,NaN,NaN
2020-01-27,0,-5.21,-5.54
2020-01-28,3,-0.75,3.03
2020-01-29,0,-2.39,-0.37
2020-01-30,0,3.38,3.43
2020-01-31,1,-3.79,-3.17
2020-02-01,0,NaN,NaN
2020-02-02,2,NaN,NaN
2020-02-03,0,0.15,1.19
2020-02-04,0,5.31,4.68
2020-02-05,3,3.75,2.36
2020-02-06,0,-1.65,-2.75
2020-02-07,0,-1.27,0.28
2020-02-08,1,NaN,NaN
2020-02-09,0,NaN,NaN
2020-02-10,0,-0.01,1.44
2020-02-11,0,1.33,3.65
2020-02-12,0,2.07,2.11
2020-02-13,1,-1.47,-1.25
2020-02-14,0,-1.78,-2.96
2020-02-15,1,NaN,NaN
2020-02-16,0,NaN,NaN
2020-02-17,0,NaN,NaN
2020-02-18,0,0.87,-1.95
2020-02-19,0,-1.02,-1.05
2020-02-20,0,0.62,0.64
2020-02-21,0,-2.38,-2.42
2020-02-22,0,NaN,NaN
2020-02-23,2,NaN,NaN
2020-02-24,0,-3.26,-8.52
2020-02-25,0,-6.49,-9.16
2020-02-26,0,-5.72,-3.5
2020-02-27,0,-2.39,-7.66
2020-02-28,0,-5.16,-7.52
2020-02-29,1,NaN,NaN
2020-03-01,0,NaN,NaN
2020-03-02,8,-0.54,-1
2020-03-03,7,-4.85,-5.36
2020-03-04,23,2.02,3.81
2020-03-05,19,-13.25,-13.44
2020-03-06,33,0.99,-0.44
2020-03-07,77,NaN,NaN
2020-03-08,53,NaN,NaN
2020-03-09,166,-10.21,-7.64
2020-03-10,116,12.36,15.25
2020-03-11,75,-6.13,-4.35
2020-03-12,188,-24.85,-17.28
2020-03-13,365,12.3,6.39
2020-03-14,439,NaN,NaN
2020-03-15,633,NaN,NaN
2020-03-16,759,-14.82,11.25
2020-03-17,234,-13.53,-2.14
2020-03-18,1467,-30.29,-25.22
2020-03-19,1833,-0.47,-11.67
2020-03-20,2657,15.13,0.87
2020-03-21,4494,NaN,NaN
2020-03-22,6367,NaN,NaN
2020-03-23,5995,7.14,-1.25
2020-03-24,8830,25.71,35.8
2020-03-25,11231,10.91,10.56
2020-03-26,10612,-2.87,1.75
2020-03-27,12075,-7.62,-10.34
2020-03-28,17840,NaN,NaN
2020-03-29,18680,NaN,NaN
2020-03-30,19607,-8.16,-12.75
2020-03-31,18879,4.61,-0.49
2020-04-01,22082,-18.7,-12.31
2020-04-02,26316,-8.69,-5.89
2020-04-03,25883,-2.28,-6.66
2020-04-04,30387,NaN,NaN
2020-04-05,31970,NaN,NaN
2020-04-06,33015,4.96,1.17
2020-04-07,28197,1.92,7.58
2020-04-08,30173,12.38,10.86
2020-04-09,31410,14.5,10.41
2020-04-10,32195,NaN,NaN
2020-04-11,34582,NaN,NaN
2020-04-12,33485,NaN,NaN
2020-04-13,29308,-8.22,-7.59
2020-04-14,26927,6.88,3.33
2020-04-15,25809,3.11,2.89
2020-04-16,28564,-11.46,-9.93
2020-04-17,30165,3.08,4.52
2020-04-18,31401,NaN,NaN
2020-04-19,32669,NaN,NaN
2020-04-20,27927,-4.44,-4.41
2020-04-21,25689,0.32,-0.54
2020-04-22,28420,-7.17,-6.64
2020-04-23,26060,-0.62,-0.19
2020-04-24,29314,-0.62,0.59
2020-04-25,33184,NaN,NaN
2020-04-26,33751,NaN,NaN
2020-04-27,31572,-2.19,-2.81
2020-04-28,26844,11.36,12.38
2020-04-29,23187,12.1,12.17
2020-04-30,24661,-5.22,-4.91
2020-05-01,27811,-10.01,-11.41
2020-05-02,29487,NaN,NaN
2020-05-03,34240,NaN,NaN
2020-05-04,27764,-5.11,-7.71
2020-05-05,24457,-4.51,-3.16
2020-05-06,23382,-5.02,-2.73
2020-05-07,24510,-0.7,3.14
2020-05-08,25089,11.74,6.29
2020-05-09,27736,NaN,NaN
2020-05-10,26749,NaN,NaN
2020-05-11,24948,-5.7,-0.39
2020-05-12,18871,-5.05,-4.46
2020-05-13,19427,-9.01,-5.6
2020-05-14,22725,-1.98,0.44
2020-05-15,20963,-1.87,-1.2
2020-05-16,27158,NaN,NaN
2020-05-17,25255,NaN,NaN
2020-05-18,24016,21.13,9.18
2020-05-19,18315,-1.86,-2.33
2020-05-20,21987,5.19,2.39
2020-05-21,21055,3.73,0.2
2020-05-22,23062,-1.7,-1.92
2020-05-23,25865,NaN,NaN
2020-05-24,23311,NaN,NaN
2020-05-25,21103,NaN,NaN
2020-05-26,19946,16.3,14.85
2020-05-27,18347,3.89,7.54
2020-05-28,19451,-5.87,-8.35
2020-05-29,18533,-2.94,-4.37
2020-05-30,22868,NaN,NaN
2020-05-31,24255,NaN,NaN
2020-06-01,23816,5.06,5.81
2020-06-02,19037,1.53,0.99
2020-06-03,16928,12.5,5.61
2020-06-04,21389,16.2,41.1
2020-06-05,20006,8.45,11.18
2020-06-06,21368,NaN,NaN
2020-06-07,25349,NaN,NaN
2020-06-08,21405,14.82,9.25
2020-06-09,17662,-8.32,-8.67
2020-06-10,17492,-11.02,-8.25
2020-06-11,18361,-16.11,-15.51
2020-06-12,20951,19.03,16.41
2020-06-13,23042,NaN,NaN
2020-06-14,24914,NaN,NaN
2020-06-15,25268,-1.66,-0.24
2020-06-16,19019,3.1,1.98
2020-06-17,19456,-2.39,-0.29
2020-06-18,23693,0.23,-2.89
2020-06-19,26499,-6.35,-2.97
2020-06-20,27867,NaN,NaN
2020-06-21,30981,NaN,NaN
2020-06-22,31917,-0.81,-6.75
2020-06-23,25968,-1.26,-6.17
2020-06-24,30676,-8.34,-6.86
2020-06-25,36208,4.9,1
2020-06-26,34426,-5.19,-6
2020-06-27,40356,NaN,NaN
2020-06-28,45353,NaN,NaN
2020-06-29,41359,7.24,7.59
2020-06-30,40409,-1.87,-1.88
2020-07-01,40057,-0.46,-1.99
2020-07-02,45980,-0.9,-2.42
2020-07-03,51488,NaN,NaN
2020-07-04,55588,NaN,NaN
2020-07-05,51841,NaN,NaN
2020-07-06,45549,3.13,2.4
2020-07-07,49580,-7.55,-6.95
2020-07-08,44162,-0.06,0.67
2020-07-09,60755,-7.25,-6.76
2020-07-10,59740,8.29,6.8
2020-07-11,62567,NaN,NaN
2020-07-12,67859,NaN,NaN
2020-07-13,60038,-2.79,-2.6
2020-07-14,59085,-0.06,-0.52
2020-07-15,58793,14.59,16.16
2020-07-16,67427,-5.17,-7.37
2020-07-17,67635,-1.65,-4.34
2020-07-18,77102,NaN,NaN
2020-07-19,71672,NaN,NaN
2020-07-20,62470,-4.69,-3.69
2020-07-21,60716,2.29,0
2020-07-22,61477,-4.23,-0.96
2020-07-23,64239,4.93,3.61
2020-07-24,71915,-1.05,-3.23
2020-07-25,68511,NaN,NaN
2020-07-26,73208,NaN,NaN
2020-07-27,65375,-1.4,0
2020-07-28,54864,3.21,3.34
2020-07-29,55947,-2.66,-3.14
2020-07-30,65785,-2.55,-1.93
2020-07-31,71832,-1.13,-0.54
2020-08-01,67599,NaN,NaN
2020-08-02,67911,NaN,NaN
2020-08-03,57839,1.56,-0.36
2020-08-04,46269,1.32,3.52
2020-08-05,44567,4.46,9.5
2020-08-06,57283,1.99,3.82
2020-08-07,54433,-0.2,-0.08
2020-08-08,59481,NaN,NaN
2020-08-09,58322,NaN,NaN
2020-08-10,54449,9.35,7.44
2020-08-11,46369,-1.89,-1.93
2020-08-12,48733,-1.17,-1.38
2020-08-13,46910,-1.62,-1.77
2020-08-14,56811,1.03,0.23
2020-08-15,51742,NaN,NaN
2020-08-16,64764,NaN,NaN
2020-08-17,46790,-4.92,-5.33
2020-08-18,41181,-1.22,-0.16
2020-08-19,36484,1.35,0.63
2020-08-20,45034,-1.13,-1.42
2020-08-21,47393,-2.97,-2.72
2020-08-22,44087,NaN,NaN
2020-08-23,48253,NaN,NaN
2020-08-24,43653,9.93,10.53
2020-08-25,34510,-3.03,-2.23
2020-08-26,36432,-2.75,-2.66
2020-08-27,39979,5.75,3.83
2020-08-28,45520,3.09,2.33
2020-08-29,45120,NaN,NaN
2020-08-30,46929,NaN,NaN
2020-08-31,45414,-3.59,-3.97
2020-09-01,34787,0.03,0.38
2020-09-02,35138,2.44,0.99
2020-09-03,41677,1.38,0.98
2020-09-04,40951,2.17,1.87
2020-09-05,43781,NaN,NaN
2020-09-06,50129,NaN,NaN
2020-09-07,43192,NaN,NaN
2020-09-08,31511,-2.43,0.15
2020-09-09,23545,-3.35,-4.26
2020-09-10,26845,1.17,-0.31
2020-09-11,33895,-1.04,-0.46
2020-09-12,36066,NaN,NaN
2020-09-13,47439,NaN,NaN
2020-09-14,41003,1.86,2.39
2020-09-15,34305,0.16,-0.9
2020-09-16,33842,4.08,5.02
2020-09-17,39385,0.13,-1.23
2020-09-18,38460,-3.6,-3.23
2020-09-19,44922,NaN,NaN
2020-09-20,48750,NaN,NaN
2020-09-21,42512,-8.6,-7.43
2020-09-22,38444,0.83,1.06
2020-09-23,51495,-2.91,-3.32
2020-09-24,39482,-1.03,-1.34
2020-09-25,38581,4.46,4.42
2020-09-26,45710,NaN,NaN
2020-09-27,48054,NaN,NaN
2020-09-28,44394,5.09,3.82
2020-09-29,37280,-3.98,-4
2020-09-30,32284,0.7,0.33
2020-10-01,42692,1.24,2.36
2020-10-02,41196,2.36,3.34
2020-10-03,45357,NaN,NaN
2020-10-04,54469,NaN,NaN
2020-10-05,48627,0.53,0.92
2020-10-06,36092,-3.65,-4.5
2020-10-07,38835,4.3,4.31
2020-10-08,44681,1.7,0.61
2020-10-09,50642,0.32,0.38
2020-10-10,58330,NaN,NaN
2020-10-11,55994,NaN,NaN
2020-10-12,54074,-1.99,-2.12
2020-10-13,45948,-3.08,-5.42
2020-10-14,40523,0.99,1.15
2020-10-15,52879,-3.82,-1.05
2020-10-16,59487,-0.26,1.88
2020-10-17,64359,NaN,NaN
2020-10-18,68449,NaN,NaN
2020-10-19,56962,3.92,0.8
2020-10-20,49354,1.58,1.91
2020-10-21,66863,-1.44,-0.47
2020-10-22,61101,4.78,3.22
2020-10-23,63028,2.07,-4.18
2020-10-24,75338,NaN,NaN
2020-10-25,80987,NaN,NaN
2020-10-26,82821,-7.02,-6.35
2020-10-27,61802,-3.31,-4.83
2020-10-28,66508,-4.59,-2.49
2020-10-29,76014,2.98,1.92
2020-10-30,78634,0.86,1.08
2020-10-31,90175,NaN,NaN
2020-11-01,98519,NaN,NaN
2020-11-02,88983,-0.24,-0.8
2020-11-03,104101,0.71,0.54
2020-11-04,83389,-2,-2.18
2020-11-05,125495,6.03,5.41
2020-11-06,103875,-1.9,-1.21
2020-11-07,126976,NaN,NaN
2020-11-08,126785,NaN,NaN
2020-11-09,128580,19.15,15.18
2020-11-10,110500,-3.07,-6.21
2020-11-11,121171,-3.85,-2.75
2020-11-12,139088,-4.31,-2.49
2020-11-13,144209,5.81,4.26
2020-11-14,162730,NaN,NaN
2020-11-15,178841,NaN,NaN
2020-11-16,168008,5.16,4.49
2020-11-17,136754,-0.98,-0.7
2020-11-18,157716,1.11,0.31
2020-11-19,162035,-0.27,0.39
2020-11-20,171747,-2.54,-2.03
2020-11-21,189109,NaN,NaN
2020-11-22,196706,NaN,NaN
2020-11-23,179366,2.58,8.22
2020-11-24,143072,9.85,9.29
2020-11-25,170935,1.51,0.81
2020-11-26,174775,NaN,NaN
2020-11-27,183487,-0.74,0.27
2020-11-28,111988,NaN,NaN
2020-11-29,205948,NaN,NaN
2020-11-30,155562,-0.55,-5.67
2020-12-01,139362,0.6,0.99
2020-12-02,156293,3.11,4.13
2020-12-03,183403,6.81,8.28
2020-12-04,202459,-1.34,1.93
2020-12-05,219601,NaN,NaN
2020-12-06,229531,NaN,NaN
2020-12-07,215545,-0.08,4.94
2020-12-08,176528,-0.33,2.44
2020-12-09,191937,-2.08,-2.67
2020-12-10,219747,3.37,4.84
2020-12-11,222811,-2.58,-5.23
2020-12-12,226059,NaN,NaN
2020-12-13,233184,NaN,NaN
2020-12-14,221129,-3.39,-2.05
2020-12-15,191584,0.88,1.38
