,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,47.18,48.45,48.58,45.77,2.42M,-2.56%
1,Canada,2020-01-27,0,44.74,43.41,45.53,43.4,2.71M,-5.17%
2,Canada,2020-01-28,1,45.1,45.12,45.77,44.69,2.26M,0.80%
3,Canada,2020-01-29,0,45.6,45.28,45.96,44.71,1.92M,1.11%
4,Canada,2020-01-30,0,44.93,45.1,45.2,44.18,1.59M,-1.47%
5,Canada,2020-01-31,2,44.33,44.63,45.14,44.16,1.53M,-1.34%
6,Canada,2020-02-03,0,44.78,44.37,45.18,44.12,1.50M,1.02%
7,Canada,2020-02-04,0,46.51,45.59,47.25,45.52,1.81M,3.86%
8,Canada,2020-02-05,1,46.7,47.25,48.06,46.4,1.97M,0.41%
9,Canada,2020-02-06,0,46.35,47.0,47.13,46.33,1.37M,-0.75%
10,Canada,2020-02-07,2,45.46,46.25,46.25,45.04,1.32M,-1.92%
11,Canada,2020-02-10,0,45.08,45.24,45.47,44.73,1.79M,-0.84%
12,Canada,2020-02-11,0,46.58,45.33,47.2,45.33,1.55M,3.33%
13,Canada,2020-02-12,0,47.07,46.7,47.29,46.2,1.30M,1.05%
14,Canada,2020-02-13,0,47.05,46.76,47.59,46.76,1.12M,-0.04%
15,Canada,2020-02-14,0,46.22,47.0,47.01,46.13,1.21M,-1.76%
16,Canada,2020-02-18,0,45.0,44.42,45.75,43.1,3.61M,-2.64%
17,Canada,2020-02-19,0,45.31,45.3,45.68,44.73,1.61M,0.69%
18,Canada,2020-02-20,0,44.45,45.06,45.6,44.35,1.73M,-1.90%
19,Canada,2020-02-21,1,42.18,44.2,44.24,41.86,3.26M,-5.11%
20,Canada,2020-02-24,1,40.07,38.42,40.38,37.89,3.15M,-5.00%
21,Canada,2020-02-25,1,37.39,40.25,40.29,37.22,3.09M,-6.69%
22,Canada,2020-02-26,0,34.92,36.88,37.5,34.83,4.19M,-6.61%
23,Canada,2020-02-27,2,35.45,32.0,37.0,31.67,3.67M,1.52%
24,Canada,2020-02-28,1,34.25,33.26,34.59,33.01,4.02M,-3.39%
25,Canada,2020-03-02,3,34.57,34.4,34.96,33.4,2.83M,0.93%
26,Canada,2020-03-03,3,34.94,35.7,36.65,34.74,4.15M,1.07%
27,Canada,2020-03-04,3,35.07,35.66,36.22,34.08,3.82M,0.37%
28,Canada,2020-03-05,4,32.16,33.92,34.04,31.91,4.87M,-8.30%
29,Canada,2020-03-06,12,33.16,30.98,34.5,30.53,4.78M,3.11%
30,Canada,2020-03-09,13,30.31,29.76,31.31,28.01,3.63M,-8.59%
31,Canada,2020-03-10,2,31.22,31.0,31.64,30.45,3.94M,3.00%
32,Canada,2020-03-11,29,27.4,30.4,30.4,27.24,6.42M,-12.24%
33,Canada,2020-03-12,9,24.9,23.25,25.86,21.0,5.82M,-9.12%
34,Canada,2020-03-13,76,25.37,25.82,27.3,23.34,5.50M,1.89%
35,Canada,2020-03-16,163,18.23,22.84,22.84,15.65,8.20M,-28.14%
36,Canada,2020-03-17,63,16.09,19.0,19.1,15.51,5.45M,-11.74%
37,Canada,2020-03-18,179,12.9,15.0,15.18,9.26,14.79M,-19.83%
38,Canada,2020-03-19,143,12.15,13.7,14.36,10.84,8.22M,-5.81%
39,Canada,2020-03-20,143,12.41,15.85,15.85,12.22,8.82M,2.14%
40,Canada,2020-03-23,619,12.7,13.06,13.74,12.21,6.09M,2.34%
41,Canada,2020-03-24,702,15.11,15.12,15.5,14.06,7.67M,18.98%
42,Canada,2020-03-25,461,17.51,17.35,19.48,15.31,13.03M,15.88%
43,Canada,2020-03-26,791,17.91,18.21,19.26,17.08,10.19M,2.28%
44,Canada,2020-03-27,640,16.75,17.4,17.57,15.5,7.65M,-6.48%
45,Canada,2020-03-30,1118,16.08,16.01,16.95,15.3,5.42M,-4.00%
46,Canada,2020-03-31,1129,15.75,16.27,16.72,15.5,5.62M,-2.05%
47,Canada,2020-04-01,1033,14.46,15.3,15.55,14.28,6.34M,-8.19%
48,Canada,2020-04-02,1724,14.72,14.51,15.17,14.04,4.57M,1.80%
49,Canada,2020-04-03,1153,14.55,14.94,15.04,13.53,6.86M,-1.15%
50,Canada,2020-04-06,807,15.16,15.24,15.49,14.86,5.72M,4.19%
51,Canada,2020-04-07,1309,16.57,16.69,17.5,16.0,9.16M,9.30%
52,Canada,2020-04-08,1269,18.74,17.25,18.94,16.85,9.02M,13.10%
53,Canada,2020-04-09,1513,20.08,20.0,22.0,19.46,9.86M,7.15%
54,Canada,2020-04-13,1381,19.31,20.5,20.72,18.79,6.15M,-3.83%
55,Canada,2020-04-14,1355,19.43,19.99,20.5,19.28,5.81M,0.62%
56,Canada,2020-04-15,1174,18.66,19.0,19.24,18.3,4.68M,-3.96%
57,Canada,2020-04-16,2600,17.1,18.79,18.86,17.03,7.83M,-8.36%
58,Canada,2020-04-17,2005,18.15,18.0,18.42,17.54,7.05M,6.14%
59,Canada,2020-04-20,2025,18.12,17.7,19.2,17.12,7.19M,-0.17%
60,Canada,2020-04-21,1744,17.75,17.5,18.5,17.38,3.72M,-2.04%
61,Canada,2020-04-22,2261,17.96,18.26,18.35,17.67,2.93M,1.18%
62,Canada,2020-04-23,1636,18.19,18.0,18.4,17.69,3.33M,1.28%
63,Canada,2020-04-24,1620,18.24,18.25,18.65,17.9,3.94M,0.27%
64,Canada,2020-04-27,1583,18.8,18.5,19.2,18.27,4.36M,3.07%
65,Canada,2020-04-28,1534,20.6,19.25,21.1,19.11,7.47M,9.57%
66,Canada,2020-04-29,1715,21.65,21.63,22.78,21.33,8.03M,5.10%
67,Canada,2020-04-30,1592,20.24,21.54,21.55,19.83,6.95M,-6.51%
68,Canada,2020-05-01,1886,19.3,19.5,19.56,18.76,6.44M,-4.64%
69,Canada,2020-05-04,1453,17.63,17.17,18.5,16.8,9.56M,-8.65%
70,Canada,2020-05-05,1258,17.01,18.51,18.51,17.0,8.10M,-3.52%
71,Canada,2020-05-06,1479,16.68,17.01,17.39,16.36,4.95M,-1.94%
72,Canada,2020-05-07,1507,16.53,16.81,17.28,16.48,5.00M,-0.90%
73,Canada,2020-05-08,1473,17.05,16.76,17.05,16.6,4.13M,3.15%
74,Canada,2020-05-11,1173,16.3,16.86,16.89,16.13,4.26M,-4.40%
75,Canada,2020-05-12,1155,15.32,16.37,16.44,15.29,7.36M,-6.01%
76,Canada,2020-05-13,1149,14.1,15.15,15.17,13.94,7.66M,-7.96%
77,Canada,2020-05-14,1213,15.22,13.58,15.38,12.8,9.15M,7.94%
78,Canada,2020-05-15,1178,14.62,15.08,15.13,14.35,5.18M,-3.94%
79,Canada,2020-05-19,1082,16.73,16.0,16.86,15.46,8.68M,14.43%
80,Canada,2020-05-20,1082,17.01,17.14,17.5,16.9,5.32M,1.67%
81,Canada,2020-05-21,1167,16.98,16.81,17.37,16.27,3.68M,-0.18%
82,Canada,2020-05-22,1205,16.71,16.95,16.97,16.3,3.57M,-1.59%
83,Canada,2020-05-25,1013,16.76,17.0,17.2,16.66,2.42M,0.30%
84,Canada,2020-05-26,971,17.67,17.19,18.24,17.16,7.37M,5.43%
85,Canada,2020-05-27,899,16.44,17.75,17.78,15.93,17.43M,-6.96%
86,Canada,2020-05-28,987,16.0,16.7,16.77,15.95,11.51M,-2.68%
87,Canada,2020-05-29,933,15.9,15.88,15.99,15.54,7.20M,-0.63%
88,Canada,2020-06-01,809,16.41,15.99,16.57,15.61,6.37M,3.21%
89,Canada,2020-06-02,672,16.69,16.7,16.9,16.52,6.79M,1.71%
90,Canada,2020-06-03,681,18.37,17.03,18.5,16.88,12.16M,10.07%
91,Canada,2020-06-04,628,19.42,19.07,19.92,18.57,15.28M,5.72%
92,Canada,2020-06-05,678,20.29,21.94,22.5,19.95,19.74M,4.48%
93,Canada,2020-06-08,601,23.39,21.9,23.55,21.05,16.67M,15.28%
94,Canada,2020-06-09,462,21.01,22.25,22.28,20.56,14.74M,-10.18%
95,Canada,2020-06-10,479,19.51,20.5,20.68,19.01,12.65M,-7.14%
96,Canada,2020-06-11,439,17.85,17.5,18.83,17.05,12.47M,-8.51%
97,Canada,2020-06-12,436,19.4,19.35,19.64,18.16,14.38M,8.68%
98,Canada,2020-06-15,359,18.54,18.39,19.28,18.1,10.44M,-4.43%
99,Canada,2020-06-16,324,19.23,19.79,19.88,18.95,9.40M,3.72%
100,Canada,2020-06-17,404,18.75,19.0,19.18,18.64,5.02M,-2.50%
101,Canada,2020-06-18,386,18.81,18.5,19.19,18.34,4.77M,0.32%
102,Canada,2020-06-19,437,18.4,19.15,19.15,18.14,5.52M,-2.18%
103,Canada,2020-06-22,340,18.54,18.14,18.67,17.78,3.81M,0.76%
104,Canada,2020-06-23,349,18.0,18.7,18.87,17.95,6.30M,-2.91%
105,Canada,2020-06-24,320,17.19,17.77,17.8,17.05,5.68M,-4.50%
106,Canada,2020-06-25,376,17.1,16.97,17.66,16.75,5.07M,-0.52%
107,Canada,2020-06-26,166,16.7,17.08,17.18,16.55,4.19M,-2.34%
108,Canada,2020-06-29,637,17.48,16.84,17.69,16.38,5.08M,4.67%
109,Canada,2020-06-30,267,16.95,17.38,17.46,16.75,5.01M,-3.03%
110,Canada,2020-07-02,355,17.13,17.26,17.4,17.07,4.27M,1.06%
111,Canada,2020-07-03,319,17.21,17.15,17.31,17.02,1.14M,0.47%
112,Canada,2020-07-06,421,16.92,17.4,17.54,16.8,3.89M,-1.69%
113,Canada,2020-07-07,208,16.21,16.71,16.73,16.11,5.31M,-4.20%
114,Canada,2020-07-08,311,16.57,16.09,16.58,15.92,4.51M,2.22%
115,Canada,2020-07-09,322,16.2,16.52,16.86,15.9,4.66M,-2.23%
116,Canada,2020-07-10,328,16.17,16.11,16.64,16.01,4.06M,-0.19%
117,Canada,2020-07-13,636,16.36,16.31,16.78,15.95,4.40M,1.18%
118,Canada,2020-07-14,366,15.99,16.16,16.28,15.96,4.06M,-2.26%
119,Canada,2020-07-15,343,18.2,16.43,18.45,16.37,11.78M,13.82%
120,Canada,2020-07-16,451,17.48,17.56,17.73,17.05,6.91M,-3.96%
121,Canada,2020-07-17,415,16.93,17.61,17.7,16.9,3.90M,-3.15%
122,Canada,2020-07-20,770,16.98,17.0,17.18,16.58,2.93M,0.30%
123,Canada,2020-07-21,535,16.97,17.14,17.28,16.95,3.10M,-0.06%
124,Canada,2020-07-22,317,16.84,16.93,17.19,16.83,2.69M,-0.77%
125,Canada,2020-07-23,608,16.82,16.84,17.08,16.52,3.17M,-0.12%
126,Canada,2020-07-24,717,16.47,16.7,16.72,16.33,2.67M,-2.08%
127,Canada,2020-07-27,682,16.33,16.44,16.47,16.15,1.90M,-0.85%
128,Canada,2020-07-28,400,16.73,16.18,16.98,16.16,3.79M,2.45%
129,Canada,2020-07-29,486,16.36,16.75,16.87,16.3,2.47M,-2.21%
130,Canada,2020-07-30,320,16.09,16.17,16.24,16.0,3.52M,-1.65%
131,Canada,2020-07-31,604,15.11,16.0,16.05,15.02,7.40M,-6.09%
132,Canada,2020-08-04,686,15.12,15.44,15.76,15.03,5.62M,0.07%
133,Canada,2020-08-05,374,15.72,15.37,15.84,15.02,4.77M,3.97%
134,Canada,2020-08-06,354,15.95,15.83,16.09,15.51,4.36M,1.46%
135,Canada,2020-08-07,516,15.73,15.91,15.95,15.58,2.84M,-1.38%
136,Canada,2020-08-10,686,16.23,15.9,16.64,15.76,6.27M,3.18%
137,Canada,2020-08-11,336,16.69,16.87,17.0,16.5,6.19M,2.83%
138,Canada,2020-08-12,314,16.95,16.9,16.99,16.42,4.69M,1.56%
139,Canada,2020-08-13,477,17.08,16.82,17.49,16.75,4.96M,0.77%
140,Canada,2020-08-14,425,16.85,16.95,17.11,16.68,3.00M,-1.35%
141,Canada,2020-08-17,214,16.18,16.92,16.93,16.11,4.12M,-3.98%
142,Canada,2020-08-18,866,15.87,16.21,16.35,15.79,3.30M,-1.92%
143,Canada,2020-08-19,324,16.39,15.87,16.62,15.86,4.43M,3.28%
144,Canada,2020-08-20,217,16.18,16.1,16.34,15.95,2.37M,-1.28%
145,Canada,2020-08-21,694,15.99,16.1,16.38,15.9,2.59M,-1.17%
146,Canada,2020-08-24,777,16.97,16.2,17.0,16.15,7.14M,6.13%
147,Canada,2020-08-25,309,16.68,17.1,17.33,16.47,4.66M,-1.71%
148,Canada,2020-08-26,477,16.5,16.69,16.75,16.36,3.81M,-1.08%
149,Canada,2020-08-27,456,17.19,16.78,17.3,16.71,9.34M,4.18%
150,Canada,2020-08-28,506,17.99,17.3,17.99,17.3,8.39M,4.65%
151,Canada,2020-08-31,1030,17.6,17.98,18.2,17.5,6.09M,-2.17%
152,Canada,2020-09-01,504,17.6,17.44,17.83,17.1,4.92M,0.00%
153,Canada,2020-09-02,519,18.1,17.65,18.12,17.44,4.13M,2.84%
154,Canada,2020-09-03,586,17.95,18.18,18.97,17.9,8.89M,-0.83%
155,Canada,2020-09-04,614,18.63,18.3,18.9,18.16,7.68M,3.79%
156,Canada,2020-09-08,1462,18.21,18.32,18.65,17.86,5.47M,-2.25%
157,Canada,2020-09-09,378,17.82,18.3,18.55,17.59,4.56M,-2.14%
158,Canada,2020-09-10,821,17.81,17.99,18.43,17.78,4.52M,-0.06%
159,Canada,2020-09-11,720,17.75,17.96,18.08,17.55,3.65M,-0.34%
160,Canada,2020-09-14,1458,18.07,17.99,18.36,17.86,3.64M,1.80%
161,Canada,2020-09-15,802,17.94,18.13,18.33,17.92,2.56M,-0.72%
162,Canada,2020-09-16,952,18.97,18.05,19.48,18.05,7.97M,5.74%
163,Canada,2020-09-17,1027,19.05,18.56,19.22,18.53,4.33M,0.42%
164,Canada,2020-09-18,1174,17.98,18.88,19.0,17.88,6.44M,-5.62%
165,Canada,2020-09-21,1833,16.51,17.41,17.45,16.38,6.30M,-8.18%
166,Canada,2020-09-22,1272,16.5,16.67,16.95,16.26,3.79M,-0.06%
167,Canada,2020-09-23,1084,16.01,16.63,16.88,16.0,4.44M,-2.97%
168,Canada,2020-09-24,1148,16.04,15.95,16.12,15.32,4.65M,0.19%
169,Canada,2020-09-25,1630,15.8,16.09,16.12,15.59,3.73M,-1.50%
170,Canada,2020-09-28,1791,15.87,16.16,16.16,15.82,3.45M,0.44%
171,Canada,2020-09-29,1772,15.28,15.83,15.9,15.21,4.47M,-3.72%
172,Canada,2020-09-30,2116,15.69,15.35,16.16,15.33,4.87M,2.68%
173,Canada,2020-10-01,1823,15.95,15.56,15.98,15.32,4.08M,1.66%
174,Canada,2020-10-02,2124,15.64,15.5,15.77,15.47,3.52M,-1.94%
175,Canada,2020-10-05,2883,15.5,15.78,15.82,15.32,2.60M,-0.90%
176,Canada,2020-10-06,2372,15.52,15.72,15.88,15.52,5.04M,0.13%
177,Canada,2020-10-07,1624,16.1,15.76,16.28,15.67,4.47M,3.74%
178,Canada,2020-10-08,2350,16.76,16.32,16.82,16.06,4.09M,4.10%
179,Canada,2020-10-09,2895,16.09,16.8,16.8,16.06,4.31M,-4.00%
180,Canada,2020-10-13,4111,15.78,16.3,16.33,15.58,3.36M,-1.93%
181,Canada,2020-10-14,2575,15.76,15.83,16.16,15.73,2.69M,-0.13%
182,Canada,2020-10-15,2298,15.52,15.59,15.6,15.21,3.63M,-1.52%
183,Canada,2020-10-16,2566,15.52,15.6,15.7,15.4,2.24M,0.00%
184,Canada,2020-10-19,3307,15.61,15.6,16.21,15.38,4.16M,0.58%
185,Canada,2020-10-20,2238,15.91,15.75,16.03,15.65,3.09M,1.92%
186,Canada,2020-10-21,2687,15.67,15.87,15.89,15.47,3.35M,-1.51%
187,Canada,2020-10-22,2581,16.77,15.74,16.81,15.73,7.78M,7.02%
188,Canada,2020-10-23,2902,16.99,16.89,17.31,16.61,6.04M,1.31%
189,Canada,2020-10-26,4099,15.96,16.7,16.7,15.74,5.62M,-6.06%
190,Canada,2020-10-27,2730,15.6,15.89,16.18,15.57,3.47M,-2.26%
191,Canada,2020-10-28,2663,15.01,15.4,15.45,14.94,5.92M,-3.78%
192,Canada,2020-10-29,3017,15.08,15.0,15.21,14.72,3.19M,0.47%
193,Canada,2020-10-30,3556,14.73,14.99,15.08,14.5,4.30M,-2.32%
194,Canada,2020-11-02,3529,14.98,14.86,15.0,14.48,3.26M,1.70%
195,Canada,2020-11-03,4738,15.0,15.25,15.34,14.89,2.80M,0.13%
196,Canada,2020-11-04,2782,15.22,15.02,15.3,14.66,2.71M,1.47%
197,Canada,2020-11-05,2784,16.36,15.31,16.45,15.3,5.64M,7.49%
198,Canada,2020-11-06,5393,15.82,16.2,16.38,15.78,3.17M,-3.30%
199,Canada,2020-11-09,4871,20.35,19.44,20.41,18.0,27.16M,28.63%
200,Canada,2020-11-10,4445,20.12,19.59,20.5,18.87,9.87M,-1.13%
201,Canada,2020-11-11,3984,19.22,19.98,20.38,19.11,6.21M,-4.47%
202,Canada,2020-11-12,5474,18.57,18.9,19.13,18.49,5.06M,-3.38%
203,Canada,2020-11-13,4770,19.41,18.57,19.49,18.57,4.38M,4.52%
204,Canada,2020-11-16,6033,20.28,20.88,20.93,19.8,8.27M,4.48%
205,Canada,2020-11-17,4462,20.77,19.94,20.96,19.87,6.82M,2.42%
206,Canada,2020-11-18,4518,21.6,21.1,21.82,21.01,8.37M,4.00%
207,Canada,2020-11-19,4794,21.68,21.67,22.0,21.1,6.46M,0.37%
208,Canada,2020-11-20,4987,21.01,21.7,21.97,20.95,5.46M,-3.09%
209,Canada,2020-11-23,6795,21.69,21.29,21.79,21.02,6.28M,3.24%
210,Canada,2020-11-24,5282,23.57,22.34,24.0,22.3,11.89M,8.67%
211,Canada,2020-11-25,4958,23.73,23.5,24.0,22.6,7.17M,0.68%
212,Canada,2020-11-26,5679,23.82,23.71,23.99,23.51,2.23M,0.38%
213,Canada,2020-11-27,5954,24.86,23.91,25.95,23.8,9.62M,4.37%
214,Canada,2020-11-30,7895,24.7,25.5,25.6,23.95,8.97M,-0.64%
215,Canada,2020-12-01,5495,25.11,25.06,25.32,24.72,6.34M,1.66%
216,Canada,2020-12-02,6454,25.89,25.17,26.06,24.99,7.10M,3.11%
217,Canada,2020-12-03,6264,27.25,26.5,27.5,26.23,9.73M,5.25%
218,Canada,2020-12-04,6419,27.5,27.95,28.24,27.47,8.08M,0.92%
219,Canada,2020-12-07,7724,27.04,27.7,27.79,26.73,6.44M,-1.67%
220,Canada,2020-12-08,6171,27.34,26.9,27.74,26.74,6.02M,1.11%
221,Canada,2020-12-09,6399,26.19,27.55,27.64,25.76,9.94M,-4.21%
222,Canada,2020-12-10,6686,26.43,25.7,26.68,25.19,5.75M,0.92%
223,Canada,2020-12-11,6715,26.16,26.23,26.47,25.47,5.97M,-1.02%
224,Canada,2020-12-14,8377,26.1,26.61,27.03,26.05,5.16M,-0.23%
